Age,Monthly_Income,Debt_to_Income,Credit_Score,Loan_Amount,Employment_Years,Dependants,Prior_Defaults,Collateral_Value,Credit_Accounts,Utility_Latency,App_Session_Time,Social_Sentiment,Mobile_Data_Use,Ecommerce_Freq,Savings_Score,Community_Score,Night_Activity,Contact_Diversity,Bill_Consistency,Loan_Status
53,3329.79,0.0904,850,9847.66,8.38,1,0,33322.73,6,0.32,80.28,-0.0429,14.16,14,66.18,86.25,0.2899,244,0.7381,1
23,1732.5,0.4503,558,22659.28,1.85,2,0,15685.54,1,5.31,2.05,-0.3183,2.19,2,14.39,34.97,0.6633,56,0.1877,0
55,8152.18,0.0767,805,24624.82,2.51,2,0,44899.83,5,0.37,79.71,0.1571,51.93,10,75.25,59.89,0.2201,274,0.6877,1
51,2861.54,0.1056,752,50917.37,0.07,1,0,86837.11,10,0.27,55.72,0.5355,10.42,15,75.53,66.44,0.276,263,0.8682,1
33,6129.54,0.2067,725,22253.42,30.77,1,0,13466.15,8,3.78,66.31,0.5703,12.39,6,81.91,80.62,0.0324,285,0.674,1
43,14757.87,0.0855,850,9490.04,12.48,0,0,7853.43,9,1.33,75.18,0.3616,10.55,7,56.3,68.79,0.1087,297,0.9267,1
29,2143.59,0.7691,352,13540.84,0.6,1,1,15712.68,2,1.9,1.76,-0.0578,2.14,0,28.65,16.41,0.6614,47,0.2725,0
60,2536.96,0.1767,659,37081.24,15.33,0,0,70406.27,5,2.8,65.21,-0.0702,13.35,16,64.99,88.52,0.1831,279,0.9614,1
50,7124.25,0.2163,649,32357.71,8.89,1,0,89264.75,12,0.38,61.08,0.1282,3.45,10,84.86,53.37,0.34,260,0.927,1
36,2480.03,0.6672,417,29530.59,4.32,2,1,22745.38,5,20.2,1.23,-0.6324,1.31,6,30.75,47.24,0.6846,53,0.3586,0
44,6404.44,0.1612,549,71981.71,1.03,2,0,88482.59,8,0.16,111.05,0.5006,22.13,16,60.88,100.0,0.0634,268,0.7823,1
38,2152.96,0.0537,742,17801.49,10.76,2,1,27637.23,5,0.46,88.82,0.8104,24.98,14,68.55,67.19,0.2203,270,0.9496,1
41,3617.89,0.124,837,23498.95,2.43,2,0,40214.77,12,0.19,68.0,0.4879,6.77,12,46.57,64.11,0.0189,236,0.7219,1
42,7014.57,0.1859,560,21386.96,0.39,0,0,48302.7,9,0.22,58.27,0.0532,6.07,16,78.39,92.82,0.1999,254,0.8175,1
35,4057.03,0.2389,639,45015.4,14.24,2,0,61051.56,10,2.43,98.74,0.5328,16.11,13,72.85,59.97,0.1373,254,0.7282,1
44,16401.6,0.4791,728,59058.87,5.7,2,0,103499.54,6,0.05,113.52,0.7261,10.61,16,79.61,88.28,0.0372,238,0.8435,1
48,1263.54,0.4372,642,16074.91,1.11,2,0,19561.57,11,1.2,95.59,0.6515,11.23,9,87.54,76.04,0.1453,251,0.713,1
61,6734.71,0.2088,612,19920.02,3.62,0,0,16728.54,8,3.09,46.32,0.4659,7.99,15,61.63,63.59,0.2008,245,0.9312,1
40,6199.78,0.4149,557,11012.16,1.63,4,0,55060.79,12,4.51,116.44,-0.2316,5.44,8,36.75,57.19,0.1452,259,0.8508,1
50,5247.11,0.2675,623,23694.67,14.02,0,0,50827.25,12,0.32,35.1,0.1757,30.57,13,54.15,74.13,0.2641,232,0.6693,1
48,5483.96,0.1359,577,22291.78,27.47,2,0,68228.31,9,1.01,90.39,0.045,13.75,10,53.25,88.17,0.1937,316,0.7466,1
40,2494.5,0.544,399,11517.05,2.66,5,2,18489.1,5,11.87,29.28,-0.3993,1.9,5,21.99,20.23,0.56,67,0.0307,0
52,5084.76,0.2104,612,20977.16,1.54,0,0,22285.09,7,2.34,66.25,0.3476,4.53,13,81.8,94.62,0.1328,282,0.7288,1
41,7625.59,0.103,666,29491.45,6.12,1,0,53323.29,15,3.45,99.05,0.4805,21.86,15,75.99,61.42,0.281,265,0.6404,1
22,1594.32,0.5445,547,18610.05,3.21,3,2,23217.25,1,6.64,14.12,-0.4146,8.02,1,2.94,39.18,0.5242,56,0.0418,0
18,2496.1,0.4977,426,26898.99,0.05,1,1,17036.67,3,2.86,3.97,-0.2163,8.13,1,0.0,8.97,0.5384,59,0.1564,0
42,5739.73,0.1024,850,19541.05,12.1,0,0,55510.74,7,0.7,94.31,-0.0845,18.38,13,52.74,69.03,0.2932,276,0.783,1
49,8941.72,0.0862,674,23697.09,5.39,0,0,32017.75,11,6.75,53.53,0.2469,19.03,12,75.6,88.03,0.2419,257,0.9245,1
48,5519.5,0.2911,588,16897.51,7.12,1,0,35878.76,5,0.74,99.71,0.5204,32.23,12,75.66,89.01,0.3826,240,0.6866,0
31,1713.9,0.4928,383,15903.93,0.12,4,2,11291.3,2,0.86,0.0,-0.0415,9.01,2,13.96,41.91,0.5535,58,0.2485,0
31,1990.1,0.3006,430,60276.26,0.53,2,1,72297.11,1,13.92,1.41,-0.3048,2.86,1,19.3,3.65,0.376,46,0.0909,0
52,4360.3,0.1275,623,12804.04,4.67,2,0,29744.84,8,0.36,129.5,0.5092,16.54,7,80.01,76.49,0.3261,236,0.7076,1
60,12225.51,0.2077,704,19273.73,3.17,0,0,24154.76,8,0.18,65.82,0.2131,15.66,18,74.56,70.38,0.3286,267,0.9818,1
56,6076.15,0.1711,717,35228.17,11.67,0,0,47213.2,8,2.05,92.31,0.4437,5.27,7,69.54,100.0,0.1152,241,0.8737,1
35,2685.57,0.8515,470,9575.53,0.54,3,0,10435.91,1,31.0,0.0,-0.3782,2.52,0,22.69,3.44,0.554,52,0.2308,1
22,2328.1,0.067,766,21203.17,1.42,3,0,45630.63,11,2.87,78.77,-0.1274,4.93,13,59.32,83.41,0.2001,282,0.8137,1
35,4161.16,0.05,611,19566.5,5.02,0,0,33701.82,7,1.2,94.69,0.4574,22.2,13,56.83,79.11,0.0368,260,0.8823,1
42,1077.14,0.2513,470,9830.25,1.2,4,1,12650.3,2,5.93,6.8,0.1513,3.81,2,14.83,23.84,0.5532,49,0.1718,0
34,12448.32,0.3077,773,19775.84,1.52,1,0,42504.26,11,0.1,72.08,0.2085,13.41,9,56.88,79.22,0.2546,229,0.5151,1
47,4190.84,0.0935,796,9942.53,0.29,0,0,14386.78,12,1.37,99.51,-0.0025,7.68,17,58.2,85.05,0.0768,265,0.9478,1
54,7898.39,0.2374,607,18490.55,12.3,1,0,14215.82,5,0.66,70.46,-0.2551,8.29,12,76.0,56.45,0.1408,233,0.87,1
51,4462.91,0.4331,700,18881.66,11.69,2,0,80045.92,9,1.09,96.75,0.366,4.02,9,64.49,88.48,0.0251,244,0.8494,0
41,4466.44,0.271,657,18138.54,7.57,0,1,26490.28,10,2.47,87.87,0.2898,27.83,6,82.08,74.53,0.3403,284,0.8283,1
47,4406.98,0.05,728,25833.28,3.57,1,0,82395.41,9,1.75,61.74,0.6898,18.25,12,69.66,78.17,0.0915,266,0.7417,1
49,7868.29,0.1615,748,10681.94,0.88,2,0,22649.4,8,0.57,59.86,0.183,13.4,18,60.96,76.39,0.1425,238,0.9294,1
47,2500.51,0.2113,688,30021.67,6.67,1,0,47099.46,10,0.7,87.31,0.7381,24.78,14,83.64,75.04,0.1156,232,0.6531,1
34,1262.69,0.4779,661,15169.09,0.53,1,2,29779.79,1,10.38,18.24,-0.5065,3.86,3,0.0,25.92,0.6402,46,0.1238,1
37,6450.88,0.6522,564,16208.62,0.57,2,1,12723.19,3,0.9,21.97,-0.1469,1.53,0,21.94,26.09,0.5665,71,0.0314,0
45,2532.3,0.1802,805,9864.51,4.28,3,0,20175.71,5,0.52,51.83,0.6632,4.77,13,41.62,77.95,0.1267,256,0.7717,1
25,3390.83,0.8286,567,29224.27,2.69,5,1,12327.77,2,2.85,13.54,-0.3834,1.36,2,17.61,46.06,0.7161,61,0.2249,0
39,4127.86,0.0724,850,15366.16,7.75,3,0,14875.03,10,1.39,84.31,0.7632,15.0,9,44.23,69.65,0.3038,276,0.8815,1
44,2031.35,0.3222,701,32781.42,8.05,2,0,48550.03,6,0.68,71.81,-0.1809,25.98,10,67.34,41.26,0.3052,255,0.7688,1
57,5440.02,0.174,658,13697.96,0.42,1,0,14915.41,8,1.06,68.79,0.3957,5.56,11,72.82,56.14,0.209,287,0.569,1
38,15078.12,0.2354,752,7965.08,0.3,1,0,18607.87,6,0.23,52.32,0.5124,14.88,18,93.78,97.76,0.1509,264,0.6688,1
26,1409.22,0.2524,475,16611.93,3.85,7,2,18690.19,2,2.15,0.0,-0.1856,2.44,4,22.92,25.23,0.4825,72,0.1466,0
58,3876.47,0.05,550,26513.94,17.54,1,0,55380.06,3,1.18,59.85,0.1955,16.46,11,90.1,74.4,0.1391,258,0.8757,1
50,4254.1,0.3357,776,27655.31,18.46,0,0,41037.3,4,7.25,52.14,0.3235,26.91,14,68.72,90.19,0.2367,239,0.9,1
46,8235.01,0.1081,616,28620.08,1.02,4,1,36986.23,8,1.06,82.62,0.0893,27.33,12,70.89,60.66,0.1767,221,0.796,1
41,9740.16,0.4766,773,6737.79,7.53,1,0,18948.42,4,1.44,74.82,0.1108,21.5,12,50.3,83.11,0.0513,251,0.9102,1
60,7586.12,0.1432,639,20923.25,0.58,1,0,48027.67,10,0.73,102.88,0.2351,23.68,19,85.85,86.27,0.1513,260,0.9024,1
42,8273.85,0.0692,747,39662.92,1.58,1,0,108978.89,5,2.77,83.93,0.0705,15.1,6,56.3,79.39,0.2756,267,0.6847,1
31,3112.34,0.6036,598,22748.11,0.23,6,1,11447.98,1,5.63,38.02,-1.0,1.9,2,0.0,0.0,0.4571,57,0.0335,0
51,8351.62,0.2584,686,90000.0,9.89,1,0,81508.63,9,0.06,38.94,0.1387,12.24,10,65.97,78.95,0.1057,234,0.8755,1
45,6064.95,0.4366,779,25678.13,16.03,2,0,38190.36,6,1.17,62.96,0.5111,21.58,14,100.0,78.83,0.2951,264,0.9405,1
34,5851.23,0.2493,677,49323.49,1.6,0,0,100594.71,9,0.6,71.69,0.6307,18.42,8,69.91,91.21,0.3053,255,0.6313,1
38,3252.95,0.6997,647,29426.35,0.13,4,1,73033.09,5,7.19,62.83,-0.7469,2.57,4,6.81,31.61,0.4613,63,0.5672,0
39,3095.0,0.2147,698,23125.9,3.91,0,0,63879.76,9,2.27,86.48,0.7353,18.47,10,57.31,70.55,0.2308,232,0.7497,1
52,7018.19,0.3689,674,21329.47,5.57,1,0,32686.9,10,0.2,117.74,-0.2843,23.98,6,73.44,61.84,0.1535,256,0.7372,1
25,3280.76,0.5297,641,19179.42,2.78,3,2,18170.27,2,12.41,0.0,-0.5227,0.96,2,13.9,44.05,0.5054,60,0.0378,0
45,4509.42,0.05,755,25211.16,11.56,0,0,70753.9,14,0.46,112.76,0.206,15.62,13,44.75,95.36,0.1223,247,0.9004,1
30,5214.38,0.1272,829,33124.9,3.42,0,0,94094.19,3,0.45,76.93,0.1697,23.36,11,72.51,63.59,0.1785,259,0.8246,1
33,8044.7,0.3461,744,46728.36,0.88,1,0,132773.61,8,0.68,54.7,-0.0336,11.57,6,86.6,83.09,0.0972,289,0.8103,1
39,11858.54,0.1035,659,20535.51,9.76,0,0,34790.18,8,1.69,48.84,0.2146,13.28,12,83.95,73.32,0.0476,277,0.6484,1
46,3622.87,0.1179,530,26253.27,14.86,1,0,44120.01,7,2.6,79.95,0.1352,42.06,12,66.19,48.79,0.2156,293,0.6253,1
35,8184.11,0.1252,655,51088.96,12.39,1,0,79357.56,5,0.41,56.85,0.7047,12.89,12,50.88,64.3,0.0644,261,0.644,1
30,9077.47,0.0952,681,23985.57,3.14,0,0,39388.97,9,7.45,51.54,0.2029,10.44,10,70.36,91.54,0.1358,279,0.8957,1
44,19766.2,0.1397,596,22297.72,7.27,0,0,44613.28,9,0.05,52.6,-0.2282,28.79,11,84.35,94.45,0.3747,254,0.6947,1
34,4953.44,0.05,784,10194.68,5.91,1,0,14140.2,1,0.15,36.4,0.5546,13.02,14,85.03,100.0,0.2835,254,0.81,1
54,5853.53,0.3667,624,24570.07,32.41,1,0,48882.17,9,1.55,47.46,0.3673,11.67,13,89.19,52.98,0.1284,246,0.8181,1
24,1868.23,0.4658,367,35142.27,1.19,1,1,24394.04,1,7.5,19.27,-0.2937,5.99,1,18.57,15.65,0.6418,43,0.0609,0
49,8002.86,0.2029,686,15554.34,7.97,1,0,31051.34,8,0.25,95.2,0.0884,18.06,16,57.46,87.72,0.0708,247,0.6465,1
45,6467.34,0.3359,713,25946.61,5.91,0,0,39314.15,10,1.49,93.07,0.3534,12.43,12,90.06,96.26,0.0962,255,0.7327,1
60,4413.06,0.2745,593,12580.47,7.91,4,0,41467.33,5,1.14,90.54,0.4979,7.9,13,77.8,96.49,0.0813,253,0.8002,1
47,4558.08,0.05,691,22185.43,2.18,3,0,31570.48,11,0.06,55.93,0.3026,7.53,14,79.01,83.87,0.4255,264,0.8204,1
34,9303.13,0.3981,620,20207.39,3.86,0,0,18804.37,9,0.94,65.08,0.0993,5.61,9,92.24,83.96,0.4242,244,0.7022,1
44,8060.67,0.252,534,22549.5,0.91,0,0,23193.51,10,0.23,90.03,0.6602,11.36,16,65.61,65.79,0.1446,252,0.6357,1
36,1485.85,0.4238,464,27404.68,3.71,2,0,22189.0,1,8.41,0.0,-0.2747,1.39,4,29.49,22.79,0.5473,66,0.1446,0
41,9967.92,0.1071,637,17735.52,1.63,1,0,22694.76,9,3.66,52.62,0.0002,15.26,15,52.0,100.0,0.1601,281,0.788,1
43,2219.68,0.5652,454,19837.67,0.12,3,2,21138.78,2,10.88,12.76,-0.2111,0.8,4,38.36,6.08,0.6683,42,0.3034,0
45,3190.9,0.0849,678,18676.04,11.89,1,0,31190.36,5,0.24,77.6,0.1178,10.31,7,38.64,75.52,0.1045,257,0.5316,1
43,4844.35,0.0533,597,15746.83,21.94,0,0,17126.89,7,0.84,37.3,0.5914,12.27,11,53.95,86.53,0.2407,260,0.925,1
53,3417.92,0.1684,698,19455.29,3.58,1,0,25354.77,12,0.25,52.77,-0.0748,9.08,9,62.15,95.73,0.189,276,0.8698,1
43,5506.87,0.1145,735,24863.24,9.76,0,0,54012.47,14,3.3,64.18,0.3286,7.5,11,72.38,73.79,0.1415,252,0.869,1
49,2590.36,0.0803,699,29321.8,0.44,1,0,62221.37,8,0.9,78.87,-0.0994,13.63,9,73.23,73.38,0.3082,248,0.5103,1
45,12942.44,0.1315,836,25676.94,3.03,1,0,42805.05,11,1.38,72.26,0.2334,9.36,15,65.3,51.91,0.5756,286,0.7246,1
47,3781.53,0.4914,670,28474.4,0.4,1,0,28494.45,6,0.05,98.91,0.6599,10.07,12,90.88,63.72,0.3419,258,0.9422,1
43,3969.95,0.1347,669,44037.09,23.29,0,0,86310.19,7,0.01,82.43,0.1087,13.12,7,50.55,77.47,0.1197,293,0.3821,1
32,3462.69,0.3233,492,40143.14,1.69,1,0,61628.29,3,29.13,0.0,-0.5762,2.31,4,34.11,50.62,0.5401,56,0.0264,0
28,4241.78,0.2757,424,22663.4,0.33,3,2,34465.48,3,1.98,4.52,-0.0202,5.87,3,0.0,39.72,0.6659,45,0.3559,0
48,5300.6,0.1508,716,18857.87,0.74,2,0,62218.11,9,0.3,80.34,0.0213,4.72,15,92.32,75.09,0.0983,282,0.3395,1
26,1741.54,0.4011,595,11120.67,0.26,3,0,13127.06,2,6.86,65.4,-0.3685,3.7,1,28.44,73.23,0.8739,56,0.1374,0
40,6394.78,0.3168,665,29815.15,7.19,0,0,82948.69,7,0.97,70.99,-0.0595,29.09,11,64.48,87.85,0.159,249,0.4725,1
43,5047.8,0.1475,731,15451.87,8.98,2,0,31240.4,9,1.96,88.82,0.2881,27.97,10,79.48,77.71,0.1675,249,0.8648,1
37,1504.67,0.7294,504,27167.22,4.04,4,0,28892.46,3,14.52,29.51,-0.3136,4.31,3,29.83,10.43,0.4007,56,0.1317,0
32,12675.31,0.0837,682,18147.88,4.3,1,0,47737.23,12,0.2,67.81,0.2442,6.28,9,88.63,64.49,0.2237,282,0.78,1
60,4362.27,0.2773,706,20605.33,24.93,2,0,73991.85,7,0.74,38.83,0.4484,13.45,15,83.82,72.31,0.1606,248,0.8063,1
40,5299.83,0.264,835,14910.15,4.06,0,0,23256.57,8,6.63,100.79,0.7271,12.14,12,86.25,91.62,0.1908,258,0.8828,1
31,2286.78,0.6239,488,30913.95,0.77,3,0,30007.37,3,4.92,13.24,-0.7263,3.38,3,28.66,7.56,0.4018,54,0.2567,0
47,2896.05,0.1186,724,22155.16,22.21,1,0,78557.29,8,0.03,69.28,0.4029,5.55,10,54.47,62.37,0.0735,268,0.6746,1
49,2036.94,0.0881,725,12892.52,15.85,1,0,24945.4,9,0.03,71.76,0.1061,23.66,15,72.46,86.41,0.2535,272,0.5402,1
41,2140.75,0.3004,671,69622.11,8.83,0,0,74610.52,12,0.41,62.13,0.0439,4.54,7,52.07,64.3,0.1276,263,0.8343,1
28,6600.51,0.7008,485,31608.79,1.04,2,1,68009.6,2,25.85,22.04,-0.1012,1.96,4,0.0,0.0,0.5589,51,0.4192,0
49,4694.23,0.594,636,44798.16,2.81,1,0,124783.59,6,0.87,61.36,-0.1179,12.17,11,52.02,79.0,0.0643,241,0.8441,1
33,9721.44,0.0539,662,54903.01,9.53,1,0,145325.22,6,0.61,73.39,0.6316,28.74,18,57.74,73.12,0.2412,253,0.751,1
47,4049.45,0.0643,739,11158.85,6.91,1,0,12368.45,14,0.09,106.84,0.3005,6.6,14,88.05,81.64,0.0085,240,0.7329,1
49,6731.46,0.3742,848,29298.52,4.32,0,1,62627.79,7,0.27,87.32,0.655,14.68,12,58.22,71.39,0.1481,245,0.8389,1
46,14841.04,0.287,720,9610.51,4.24,0,0,17738.85,8,0.35,61.73,0.2914,10.43,8,69.14,61.57,0.106,241,0.9074,1
37,2824.14,0.5038,538,24155.7,1.0,2,0,13731.9,1,6.74,18.23,-0.3408,7.79,3,14.04,15.81,0.6182,68,0.1362,0
27,1880.53,0.6928,597,31806.91,3.68,0,0,28667.78,3,10.91,0.0,-0.4697,2.37,2,28.7,7.52,0.4009,63,0.1298,0
33,10582.96,0.2352,598,20323.79,6.08,3,0,52581.04,4,0.18,124.1,0.854,37.03,11,81.05,100.0,0.097,240,0.9229,1
43,7907.67,0.1842,701,41430.37,24.42,0,0,40105.11,3,0.17,52.46,0.7137,11.24,15,87.03,81.89,0.0369,261,0.8836,1
34,5007.87,0.1321,475,43335.43,6.76,2,0,43860.03,6,2.67,55.42,0.1426,33.71,14,86.58,79.53,0.2518,254,0.6396,1
27,1668.88,0.4376,516,31554.66,0.52,2,0,39512.47,5,7.28,0.0,-0.2041,2.88,3,0.0,15.98,0.6935,45,0.0747,0
40,5658.02,0.2826,736,20025.01,10.83,1,0,33821.52,9,4.7,86.39,0.3443,11.17,13,71.41,72.38,0.066,253,0.8961,1
31,2439.45,0.4978,401,16271.86,1.37,2,0,22214.64,3,33.41,25.59,-0.2135,3.99,3,2.11,17.73,0.4764,49,0.0056,0
44,9861.95,0.2034,802,19704.96,9.05,1,0,70603.85,10,2.65,104.34,-0.1275,5.13,19,42.18,80.69,0.1762,236,0.8834,1
47,4379.06,0.3231,733,18317.25,2.28,0,0,26791.32,10,3.01,86.13,0.2995,20.21,11,82.59,58.63,0.1717,249,0.9543,1
51,5317.78,0.1489,559,18677.99,1.55,2,0,34746.67,5,2.53,92.61,0.8172,10.78,6,89.06,93.01,0.3474,260,0.6608,1
51,6382.28,0.189,774,29022.89,4.22,1,0,67677.05,11,1.88,43.58,0.3828,8.7,10,100.0,52.83,0.0981,259,0.9139,1
59,10381.63,0.05,796,12774.97,12.83,2,0,22901.98,6,0.79,70.73,0.5541,30.17,14,21.11,81.75,0.1248,278,0.7812,1
53,9560.9,0.1421,624,35413.56,4.64,1,0,29090.15,11,0.17,84.21,0.1512,9.26,13,64.74,81.48,0.1148,289,0.6089,1
51,5409.62,0.1854,713,28081.7,31.33,1,0,37481.89,11,2.71,82.32,0.4425,10.87,18,69.92,84.27,0.1263,238,0.796,1
18,1650.92,0.4883,523,13394.69,0.16,1,1,36839.92,2,30.7,26.57,-0.9799,6.99,0,19.33,17.34,0.7523,54,0.1172,1
48,8315.96,0.1273,682,18299.24,4.52,1,1,17258.64,8,10.27,90.11,0.4131,8.88,15,55.84,70.34,0.0657,254,0.8816,1
34,8535.45,0.1731,800,12787.98,9.39,1,0,32656.16,7,0.98,82.57,0.2486,16.18,13,53.33,98.95,0.1563,265,0.4641,1
43,5568.46,0.2216,595,17781.74,3.43,1,0,57986.73,8,1.58,75.16,-0.2129,60.0,7,69.74,42.22,0.1104,256,0.7394,1
46,2996.1,0.05,701,10643.66,11.49,1,0,22960.5,8,0.06,80.12,-0.1402,9.08,17,59.81,81.56,0.0601,268,0.5084,1
18,1821.37,0.5004,579,17258.23,4.14,5,1,12863.55,2,2.17,15.0,-0.4551,3.04,1,27.25,18.03,0.6054,57,0.0933,0
44,4855.18,0.1353,680,23585.17,4.09,2,0,35318.86,9,0.1,77.96,0.3617,15.11,13,47.17,64.12,0.1335,241,0.6172,1
40,13813.15,0.1601,748,16045.44,3.49,3,0,52486.92,9,2.46,102.24,0.4707,17.78,17,64.8,49.72,0.2484,233,0.781,1
57,13583.55,0.12,661,16279.15,12.79,0,0,14353.59,3,0.39,92.91,0.3622,8.61,13,53.21,84.03,0.0358,273,0.9098,1
44,5411.1,0.2848,614,10900.84,9.28,1,0,11847.48,8,1.09,75.37,0.1167,4.45,11,49.7,87.61,0.1198,246,0.8178,1
32,2038.62,0.5912,384,9132.72,6.01,4,0,8536.2,2,3.16,0.0,-0.4012,5.19,4,37.24,25.85,0.6346,57,0.076,0
44,7549.81,0.167,699,9158.6,9.27,2,0,16508.63,9,2.39,84.28,0.5612,10.48,10,76.87,68.23,0.0687,249,0.7639,1
43,12908.79,0.05,612,33934.78,0.75,2,0,139770.36,10,0.19,98.17,0.1261,14.64,16,69.14,93.44,0.3418,288,0.9315,1
57,3541.5,0.353,608,33793.51,29.26,1,0,30292.02,8,1.1,65.48,0.509,17.09,10,80.77,37.84,0.1772,260,0.8908,1
35,12609.8,0.4469,695,15264.79,0.11,3,0,20379.11,5,0.34,82.02,0.8589,19.11,9,74.92,88.88,0.18,284,0.7089,1
20,5517.77,0.4121,468,60056.82,0.02,3,4,201018.02,2,1.12,50.13,0.1528,1.15,2,4.01,56.67,0.5821,46,0.2049,0
56,6904.12,0.1312,788,27887.53,3.68,1,0,32764.96,8,1.96,91.03,-0.0992,12.46,7,100.0,58.6,0.2274,258,0.9306,1
44,3888.2,0.2812,578,25479.81,12.26,0,0,48777.81,6,2.62,80.13,0.1904,8.67,18,96.93,73.7,0.0122,260,0.8519,1
38,4205.59,0.05,641,65651.47,7.1,0,0,213347.44,9,0.15,90.89,0.0373,12.33,10,58.95,73.23,0.1252,282,0.8606,1
41,2397.62,0.1788,832,15371.4,6.5,1,0,29538.86,13,0.32,102.83,0.4917,6.76,11,64.32,83.99,0.2715,238,0.7973,1
52,11504.66,0.1647,652,15654.79,2.18,0,0,32214.82,9,1.16,92.89,-0.3167,17.88,16,67.3,77.84,0.4984,265,0.8562,1
41,5949.88,0.0524,831,13902.45,6.59,0,0,32161.56,8,0.44,63.05,-0.1271,17.62,7,85.53,82.61,0.113,249,0.9632,1
45,2460.77,0.5058,509,46414.31,0.05,2,0,45048.22,2,12.3,36.08,0.2238,1.48,2,52.48,61.5,0.5644,70,0.1358,0
56,7521.33,0.2419,744,26488.31,8.0,0,0,27109.11,10,0.46,72.93,0.3037,25.32,15,77.95,80.93,0.4244,254,0.8414,1
53,6902.63,0.1618,565,13592.89,0.35,1,0,33857.61,6,3.82,95.88,0.4716,8.4,10,44.75,63.32,0.0633,275,0.9003,1
58,11072.22,0.1139,647,18336.36,2.32,2,0,56180.84,4,0.53,75.36,0.1555,22.41,11,91.93,96.07,0.2119,261,0.7506,1
39,3805.66,0.0587,657,30578.67,15.22,1,0,37763.39,8,0.48,61.27,0.0479,12.01,21,86.7,75.19,0.2911,244,0.5808,1
52,3666.87,0.2816,593,8186.18,9.23,0,0,13317.72,4,1.43,95.89,0.3081,11.25,9,70.03,91.86,0.1979,242,0.7372,1
51,11289.66,0.0688,662,28191.3,32.25,1,0,54705.19,7,0.5,45.56,0.569,11.69,10,49.19,51.28,0.0931,259,0.783,1
39,3291.85,0.1573,662,6068.42,14.07,2,0,12622.62,7,2.64,81.71,0.1772,10.96,12,76.36,62.25,0.0946,257,0.7555,1
